onset	duration	frequency	pulse_width	amplitude	out_channel	wavelength	strength	strength_unit
150.0	20.0	15.0	0.005	1.0	1.0	488.0	30.0	mW
280.0	20.0	25.0	0.005	1.0	1.0	488.0	30.0	mW
410.0	20.0	15.0	0.01	1.0	1.0	488.0	30.0	mW
540.0	20.0	25.0	0.01	1.0	1.0	488.0	30.0	mW
670.0	20.0	15.0	0.005	1.0	1.0	488.0	30.0	mW
799.9999	20.0	25.0	0.005	1.0	1.0	488.0	30.0	mW
930.0	20.0	15.0	0.01	1.0	1.0	488.0	30.0	mW
1060.0	20.0	25.0	0.01	1.0	1.0	488.0	30.0	mW
1190.0	20.0	15.0	0.005	1.0	1.0	488.0	30.0	mW
1320.0	20.0	25.0	0.005	1.0	1.0	488.0	30.0	mW
1450.0	20.0	15.0	0.01	1.0	1.0	488.0	30.0	mW
1580.0	20.0	25.0	0.01	1.0	1.0	488.0	30.0	mW
