onset	duration	frequency	pulse_width	amplitude	out_channel	wavelength	strength	strength_unit
50.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
90.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
130.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
170.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
210.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
250.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
290.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
330.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
370.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
410.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
450.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
490.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
530.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
570.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
610.0	1.0	20.0	0.005	1.0	1.0	488.0	30.0	mW
